150 Kabupaten/Kota Inflasi (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Indeks Harga Konsumen (2022=100) Menurut Kelompok dan Sub Kelompok 01 Makanan, Minuman dan Tembakau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Makanan, Minuman dan Tembakau",,,,,,,,,,Makanan,,,,,,,,,,Minuman yang Tidak Beralkohol,,,,,,,,,,Rokok dan Tembakau,,,,,,,,,,Minuman Beralkohol,,,,,,,,,
,2024,,,,,,,,,,2024,,,,,,,,,,2024,,,,,,,,,,2024,,,,,,,,,,2024,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober
KOTA TASIKMALAYA,108.49,111.04,112.86,112.9,111.92,111.72,111.57,111.47,110.91,110.45,107.77,111.16,113.6,113.43,111.99,111.6,111.22,110.12,109.07,108.21,106.38,106.39,106.53,106.6,106.6,107.25,108.18,114.07,115.55,117.1,112.98,113.11,113.11,114.07,114.64,114.79,115.08,116.09,116.63,116.86,-,-,-,-,-,-,-,-,-,-
CILACAP,107.95,109.32,111.26,110.86,110.57,109.53,109.11,108.55,108.25,108.75,107.35,109,111.46,110.88,110.36,108.83,108.21,107.31,106.33,106.82,106.57,106.59,106.4,106.3,106.4,107.24,107.37,108.46,114.35,114.77,111.77,112.3,112.59,113.01,113.71,114.24,114.61,114.98,115.17,115.74,-,-,-,-,-,-,-,-,-,-
PURWOKERTO,109.01,110.53,112.1,111.7,111.26,110.13,109.27,108.77,108.36,108.68,108.31,110.13,111.94,111.35,110.53,109.05,107.78,107.04,106.45,106.78,104.51,104.61,104.93,105.19,105.29,106.13,107.87,108.1,109.14,109.67,115.91,116.31,117,117.46,119.11,119.2,119.58,120.16,120.19,120.3,-,-,-,-,-,-,-,-,-,-
KAB WONOSOBO,111.67,113.28,115.9,116.15,115.36,114.14,112.96,112.22,111.95,112.32,113.15,115.17,118.34,118.5,117.21,115.61,113.95,112.76,111.95,112.3,105.86,105.86,105.86,106.47,106.61,107.7,108.51,112.26,120.03,121.47,106.12,106.12,106.84,107.42,108.78,108.78,109.4,109.51,109.54,109.67,-,-,-,-,-,-,-,-,-,-
KAB WONOGIRI,110.51,112.44,114.38,114.4,113.19,111.73,110.61,109.75,109.21,109.8,108.16,110.48,112.86,112.73,111.14,109.11,107.64,106.57,105.57,106.24,114.26,114.17,113.84,113.84,113.77,113.77,114.09,114.05,118.34,119.12,123.85,124.29,124.44,125.46,126.1,127.65,128.12,128.28,128.37,128.37,-,-,-,-,-,-,-,-,-,-
KAB REMBANG,113.91,115.02,115.53,114.97,113.98,112.99,112.56,112.22,111.95,112.62,113.87,115.44,116.14,115.41,114.11,112.87,111.81,111.23,110.78,111.43,117.84,114.3,113.16,113.16,114.01,114.03,115.23,117.57,119.36,120.14,112.79,113.04,113.08,113.26,113.27,113.32,115.72,115.72,115.72,116.46,-,-,-,-,-,-,-,-,-,-
KUDUS,109.7,111.69,113.06,112.87,112.16,111,110.05,109.07,108.59,109.06,109.42,111.87,113.45,113.09,111.96,110.4,109.17,107.81,107.03,107.36,103.88,103.61,104.04,104.23,104.72,104.97,105.64,106.27,107.97,109.73,114.77,114.81,115.26,116,117.48,118.43,118.52,119.26,119.74,120.51,-,-,-,-,-,-,-,-,-,-
KOTA SURAKARTA,110.59,113.45,115.06,115.56,114.37,112.68,111.88,111.18,110.47,110.83,110.11,113.45,115.33,115.85,114.37,112.29,111.29,110.49,109.41,109.7,108.65,108.93,108.6,108.81,109.01,109.38,109.14,108.72,110.57,111.82,116.42,117.07,117.87,118.39,118.69,118.87,119.36,119.47,119.93,120.17,-,-,-,-,-,-,-,-,-,-
KOTA SEMARANG,108.23,110.38,112.68,112.86,111.72,110.4,109.41,108.69,108.34,108.95,107.59,110.13,112.77,112.94,111.54,109.84,108.49,107.38,106.86,107.44,106.11,105.86,105.87,105.92,105.82,106.03,106.91,109.04,109.85,110.69,115.77,116.68,117.95,118.34,118.67,119.25,119.83,119.89,119.97,120.69,-,-,-,-,-,-,-,-,-,-
KOTA TEGAL,110.16,112.51,114.46,114.62,113.25,112.48,111.76,111.49,111.15,111.68,109.27,112.34,114.36,114.57,112.52,111.26,110.02,109.26,108.48,108.99,107.99,108.16,108.54,108.45,108.87,108.94,110.02,113.24,116.68,117.33,115.13,115.13,117.46,117.49,118.46,119.54,120.44,120.96,120.98,121.59,-,-,-,-,-,-,-,-,-,-
KAB GUNUNGKIDUL,108.89,110.27,111.24,109.87,109.39,108.15,107.67,107.05,106.8,107.23,110.61,112.36,113.58,111.88,111.17,109.63,109.03,108.19,106.98,107.24,102.23,101.93,101.72,101.71,102.92,102.92,102.65,102.92,111.89,114.76,101.66,101.66,101.66,101.66,101.66,101.66,101.78,102.1,102.43,102.45,-,-,-,-,-,-,-,-,-,-
KOTA YOGYAKARTA,109.67,110.8,112.81,112.97,112.98,111.88,110.82,110.21,109.42,109.67,108.99,110.33,112.59,112.76,112.75,111.3,109.88,108.91,107.84,108.08,106.91,107.1,107.11,107.3,107.19,107.56,107.94,110.06,110.16,110.85,117.74,117.78,119.22,119.31,119.56,120.39,121.21,121.48,122.41,122.46,-,-,-,-,-,-,-,-,-,-
KAB TULUNGAGUNG,110.14,111.9,113.97,114.55,113.12,111.14,110.61,110.08,109.51,110.16,111.38,113.46,115.86,116.52,114.76,112.29,111.57,110.79,109.62,110.33,97.66,97.66,98.54,98.99,99.05,99.05,99.66,100.14,103.01,103.12,111.37,111.94,112.22,112.24,112.24,112.72,112.73,113.4,114.83,115.48,-,-,-,-,-,-,-,-,-,-
