90 Kota Inflasi (2018=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Indeks Harga Konsumen (2018=100) Menurut Kelompok dan Sub Kelompok 01 Makanan, Minuman dan Tembakau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Makanan, Minuman dan Tembakau",,,,,,,,,,,,Makanan,,,,,,,,,,,,Minuman yang Tidak Beralkohol,,,,,,,,,,,,Minuman Beralkohol,,,,,,,,,,,,Rokok dan Tembakau,,,,,,,,,,,
,2023,,,,,,,,,,,,2023,,,,,,,,,,,,2023,,,,,,,,,,,,2023,,,,,,,,,,,,2023,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
KOTA TANJUNG PINANG,115.42,117.27,116.46,115.69,115.03,116.56,117.15,117.28,117.91,117.88,120.43,120.51,114.25,115.98,114.88,113.8,112.9,114.73,115.18,115.25,115.95,115.88,118.94,118.96,104.98,104.52,104.43,104.52,104.32,104.37,104.58,104.5,105.2,105.41,105.41,105.35,108.96,108.25,108.34,108.34,108.34,108.7,108.96,108.96,108.96,108.96,108.96,109.54,130.8,135.12,135.88,136.68,137.38,137.8,139.6,140.36,140.45,140.5,141.23,141.84
DKI JAKARTA,118.65,119.33,120.05,120.67,120.83,121.07,121.42,121.12,121.79,121.84,123.16,125.07,117.07,117.46,118.13,118.84,118.97,119.26,119.67,119.1,119.85,119.8,121.38,123.48,114.01,114.03,113.93,114,114.43,114.57,114.57,114.84,115.11,115.39,115.72,116.14,-,-,-,-,-,-,-,-,-,-,-,-,136.83,140.66,142.63,143.04,143.2,143.21,143.48,144.75,145.18,145.74,146.07,148.06
KOTA BOGOR,118.43,119.97,120.17,120.75,121.64,122.1,122.7,121.92,121.66,121.81,124.3,124.92,117.29,118.79,118.97,119.63,120.66,121.31,121.67,120.66,120.28,120.47,123.4,124.11,121.86,125.66,126.4,125.05,125.48,123.47,123.34,123.37,123.34,123.27,124.01,124.43,-,-,-,-,-,-,-,-,-,-,-,-,124.27,124.27,124.27,125.72,125.89,126.89,129.88,130.13,130.67,130.67,131.22,131.37
KOTA SUKABUMI,115.07,115.76,115.89,116.96,117.76,118.38,118.61,118.5,118.85,118.98,120.07,120.59,111.04,111.66,111.66,112.71,113.23,114.02,114.1,113.83,114.18,114.26,115.54,116.19,112.97,113.46,113.51,114.42,114.59,114.83,115.23,115.73,115.73,115.73,115.9,116.12,-,-,-,-,-,-,-,-,-,-,-,-,136.32,137.46,138.32,139.61,142.15,142.15,143,143.34,143.91,144.36,145.02,145.04
KOTA BANDUNG,120.22,121.29,121.98,122.66,123.11,123.84,124.8,124.72,124.79,124.55,125.56,126.87,119.63,120.36,121.01,121.76,122.08,122.66,123.83,123.63,123.63,123.22,124.47,126.01,113.06,113.84,114.1,114.07,114.11,114.06,114.57,115.02,115.13,115.29,115.32,114.94,-,-,-,-,-,-,-,-,-,-,-,-,129.05,132.39,133.64,134.37,135.96,138.09,138.19,138.43,138.93,139.35,139.63,140.77
KOTA CIREBON,114.06,115.31,115.87,116.64,117.54,118.46,118.75,118.11,118.59,118.58,119.29,119.84,111.56,112.1,112.48,113.48,114.6,115.27,115.64,114.78,115.35,115.33,116.09,116.79,118.48,118.46,119.21,119.23,119.4,119.35,119.41,119.19,118.74,118.9,120.2,120.2,-,-,-,-,-,-,-,-,-,-,-,-,124.83,130.35,131.75,131.75,131.88,134.58,134.58,134.87,135.3,135.3,135.48,135.48
KOTA BEKASI,120.62,121.56,122.15,123.36,123.72,123.97,123.87,123.9,123.73,124.18,126.61,128.52,121.44,122.24,122.62,123.67,123.93,124,123.81,123.81,123.4,123.91,126.84,128.89,109.87,110.39,110.68,111.23,110.9,112.08,112.35,112.58,114.08,114.31,114.52,114.7,-,-,-,-,-,-,-,-,-,-,-,-,128.23,131.59,135.33,139.37,142.05,143.01,143.29,143.4,143.4,143.4,143.59,146.59
KOTA DEPOK,121.66,123.03,123.13,123.61,123.98,124.04,124.56,123.94,123.56,123.83,125.14,126.32,121.75,123.13,123.22,123.87,123.94,124.02,124.71,123.85,123.34,123.71,125.35,126.82,109.32,109.52,109.75,109.36,109.52,109.52,109.54,109.91,109.86,109.86,110.45,111.17,-,-,-,-,-,-,-,-,-,-,-,-,129.18,131.29,131.29,131.49,133.52,133.52,133.52,133.52,133.52,133.52,133.52,133.52
KOTA TASIKMALAYA,117.32,118.91,119.15,120.29,121.43,121.64,121.63,121.49,122.59,122.4,123.57,124.36,114.8,116.36,116.24,117.57,118.88,119.05,119.01,118.8,120.01,119.74,121.09,121.95,115.65,115.92,116.03,116.03,116.08,116.52,116.57,116.72,117.58,117.84,118.09,118.8,-,-,-,-,-,-,-,-,-,-,-,-,133.72,136.48,139,139.74,140.69,140.96,141.09,141.16,141.73,141.73,142.49,142.92
CILACAP,120.2,120.7,121.03,121.77,122.48,122.93,122.58,122.41,123.04,123.06,124.93,125.47,115.3,115.56,115.52,116.46,117.06,117.62,117.11,116.75,117.57,117.58,119.88,120.55,120.96,121.39,121.86,121.73,122.25,122.37,122.59,122.63,122.49,122.65,122.73,122.49,-,-,-,-,-,-,-,-,-,-,-,-,145.08,146.82,148.98,149.18,150.49,150.51,150.72,151.46,151.46,151.46,152.06,152.26
